id,price,order,title,url,img,date,ticketStatus
anne-marit-jacobsen-alle-fugler-260220261900,NOK 100,50,Anne Marit Jacobsen – Alle Fugler,https://www.hamar-kulturhus.no/arrangementer/anne-marit-jacobsen-alle-fugler-260220261900/,https://mff.dx.no/182663.jpg,26. februar 2026,Ledige billetter
steinar-sagen-henrik-elvestad-100-ars-erfaring-1812,NOK 100,51,Steinar Sagen og Henrik Elvestad – 100 års erfaring,https://www.hamar-kulturhus.no/arrangementer/steinar-sagen-henrik-elvestad-100-ars-erfaring-1812/,https://mff.dx.no/185553.jpg,6. mars 2026,Ledige billetter
det-betales-50-arsjubileum-070320262000,NOK 100,52,Det Betales: 50-årsjubileum!,https://www.hamar-kulturhus.no/arrangementer/det-betales-50-arsjubileum-070320262000/,https://mff.dx.no/176989.jpg,7. mars 2026,Ledige billetter
en-krimaften-med-milli-og-brenna-1813,NOK 100,53,En krimaften med Milli og Brenna,https://www.hamar-kulturhus.no/arrangementer/en-krimaften-med-milli-og-brenna-1813/,https://mff.dx.no/185231.jpg,11. mars 2026,Ledige billetter
trond-viggo-og-else-resten-av-livet-130320261900,NOK 100,54,Trond-Viggo og Else: Resten av livet,https://www.hamar-kulturhus.no/arrangementer/trond-viggo-og-else-resten-av-livet-130320261900/,https://mff.dx.no/174936.jpg,13. mars 2026,Få billetter igjen
jette-christensen-maga-fra-innsiden-1815,NOK 100,55,Jette Christensen – MAGA fra innsiden,https://www.hamar-kulturhus.no/arrangementer/jette-christensen-maga-fra-innsiden-1815/,https://mff.dx.no/185406.jpg,18. mars 2026,Ledige billetter
erlend-ropstad-1807,NOK 100,56,Erlend Ropstad,https://www.hamar-kulturhus.no/arrangementer/erlend-ropstad-1807/,https://mff.dx.no/184480.jpg,18. mars 2026,Ledige billetter
marit-larsen-1806,NOK 100,57,Marit Larsen,https://www.hamar-kulturhus.no/arrangementer/marit-larsen-1806/,https://mff.dx.no/184411.jpg,19. mars 2026,Ledige billetter
harm-hegseth-10-ar-200320262130,NOK 100,58,Harm & Hegseth – 10 år!,https://www.hamar-kulturhus.no/arrangementer/harm-hegseth-10-ar-200320262130/,https://mff.dx.no/182264.jpg,20. mars 2026,Ledige billetter
asle-beck-1814,NOK 100,59,Asle Beck,https://www.hamar-kulturhus.no/arrangementer/asle-beck-1814/,https://mff.dx.no/185322.jpg,20. mars 2026,Ledige billetter
levi-henriksen-babylon-badlands-1817,NOK 100,60,Levi Henriksen & Babylon Badlands,https://www.hamar-kulturhus.no/arrangementer/levi-henriksen-babylon-badlands-1817/,https://mff.dx.no/185523.jpg,21. mars 2026,Ledige billetter
ibsen-moter-beethoven-bjorn-sundquist-og-engegardkvartetten-1820,NOK 100,61,Bjørn Sundquist og Engegårdkvartetten / Ibsen møter Beethoven,https://www.hamar-kulturhus.no/arrangementer/ibsen-moter-beethoven-bjorn-sundquist-og-engegardkvartetten-1820/,https://mff.dx.no/185857.jpg,26. mars 2026,Ledige billetter
lordagsmatine-trond-granlund-280320261400,NOK 100,62,Lørdagsmatiné: Trond Granlund,https://www.hamar-kulturhus.no/arrangementer/lordagsmatine-trond-granlund-280320261400/,https://mff.dx.no/176625.jpg,28. mars 2026,Ledige billetter
