id,title,url,img,date,ticketStatus
rockovery-2025-021020251800,Rockovery 2025,https://www.hamar-kulturhus.no/arrangementer/rockovery-2025-021020251800/,https://mff.dx.no/176341.jpg,2. oktober 2025,Ledige billetter
thor-gotaas-orkenen-sur-den-norske-uteliggerkolonien-i-brooklyn-031020251900,Thor Gotaas: «Ørkenen Sur. Den norske uteliggerkolonien i Brooklyn»,https://www.hamar-kulturhus.no/arrangementer/thor-gotaas-orkenen-sur-den-norske-uteliggerkolonien-i-brooklyn-031020251900/,https://mff.dx.no/163772.jpg,3. oktober 2025,Ledige billetter
ugress-retrotopia-031020252100,Ugress: Retrotopia,https://www.hamar-kulturhus.no/arrangementer/ugress-retrotopia-031020252100/,https://mff.dx.no/173150.jpg,3. oktober 2025,Ledige billetter
angelique-kidjo-hope-tour-041020252000,Angélique Kidjo «Hope Tour»,https://www.hamar-kulturhus.no/arrangementer/angelique-kidjo-hope-tour-041020252000/,https://mff.dx.no/172318.jpg,4. oktober 2025,Ledige billetter
detektivbyra-nr-2-operasjon-edderkopp-101020251800,Detektivbyrå nr. 2: Operasjon Edderkopp,https://www.hamar-kulturhus.no/arrangementer/detektivbyra-nr-2-operasjon-edderkopp-101020251800/,https://mff.dx.no/164042.jpg,10. oktober 2025,Ledige billetter
lordagsmatine-kvartetten-oss-fire-111020251400,Lørdagsmatiné: Kvartetten Oss Fire,https://www.hamar-kulturhus.no/arrangementer/lordagsmatine-kvartetten-oss-fire-111020251400/,https://mff.dx.no/170881.jpg,11. oktober 2025,Ledige billetter
loke-teater-innlandet-231120251600,LOKE – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/loke-teater-innlandet-231120251600/,https://mff.dx.no/173920.jpg,Fra 15. oktober 2025,Ledige billetter
seniorakademiet,Seniorakademiet,https://www.hamar-kulturhus.no/arrangementer/seniorakademiet/,https://www.hamar-kulturhus.no/wp-content/uploads/2024/08/Senior_16x9_web-1.jpg,Fra 16. oktober 2025,Ledige billetter
verdilose-menn-181020251800,Verdiløse menn,https://www.hamar-kulturhus.no/arrangementer/verdilose-menn-181020251800/,https://mff.dx.no/159808.jpg,Fra 17. oktober 2025,Få billetter igjen
byen-var-tema-hamar-kulturhus-181020251230,Byen vår. Tema: Hamar kulturhus,https://www.hamar-kulturhus.no/arrangementer/byen-var-tema-hamar-kulturhus-181020251230/,https://mff.dx.no/177036.jpg,18. oktober 2025,Ledige billetter
prosjekt-proysen-teater-innlandet-021120251900,PROSJEKT PRØYSEN – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/prosjekt-proysen-teater-innlandet-021120251900/,https://mff.dx.no/174018.jpg,Fra 18. oktober 2025,Ledige billetter
shine-on-you-251020252000,Shine On You,https://www.hamar-kulturhus.no/arrangementer/shine-on-you-251020252000/,https://mff.dx.no/164359.jpg,Fra 24. oktober 2025,Ledige billetter
ragnhild-og-241020252000,Ragnhild og,https://www.hamar-kulturhus.no/arrangementer/ragnhild-og-241020252000/,https://mff.dx.no/176676.jpg,24. oktober 2025,Ledige billetter
lordagsmatine-magnolia-jazzband-251020251400,Lørdagsmatiné: Magnolia Jazzband,https://www.hamar-kulturhus.no/arrangementer/lordagsmatine-magnolia-jazzband-251020251400/,https://mff.dx.no/169776.jpg,25. oktober 2025,Ledige billetter
carte-blanche-how-romantic-291020252000,Carte Blanche – How romantic,https://www.hamar-kulturhus.no/arrangementer/carte-blanche-how-romantic-291020252000/,https://mff.dx.no/177514.jpg,29. oktober 2025,Ledige billetter
dagfinn-lyngbo-folk-301020251900,Dagfinn Lyngbø – Folk!,https://www.hamar-kulturhus.no/arrangementer/dagfinn-lyngbo-folk-301020251900/,https://mff.dx.no/162843.jpg,30. oktober 2025,Ledige billetter
henning-kvitnes-m-band-mens-jeg-enna-er-66-ekstraomganger-311020252100,Henning Kvitnes m/band: Mens jeg ennå er 66 – ekstraomganger,https://www.hamar-kulturhus.no/arrangementer/henning-kvitnes-m-band-mens-jeg-enna-er-66-ekstraomganger-311020252100/,https://mff.dx.no/149816.jpg,31. oktober 2025,Få billetter igjen
vang-musikkforening-in-the-mood-en-swingende-matinekonsert-011120251400,"Vang Musikkforening: In the mood, en swingende matinékonsert",https://www.hamar-kulturhus.no/arrangementer/vang-musikkforening-in-the-mood-en-swingende-matinekonsert-011120251400/,https://mff.dx.no/177051.jpg,1. november 2025,Ledige billetter
prosjekt-proysen-teater-innlandet-021120251900,PROSJEKT PRØYSEN – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/prosjekt-proysen-teater-innlandet-021120251900/,https://mff.dx.no/174018.jpg,Fra 1. november 2025,Ledige billetter
vastadus-eana-the-answer-is-land-riksteatret-011120251900,Vástádus eana – The answer is land / Riksteatret,https://www.hamar-kulturhus.no/arrangementer/vastadus-eana-the-answer-is-land-riksteatret-011120251900/,https://mff.dx.no/173124.jpg,1. november 2025,Ledige billetter
