ID,Price,Item title,Final URL,Image URL,Item subtitle,Availability
carte-blanche-how-romantic-291020251900,NOK 100,Carte Blanche – How romantic,https://www.hamar-kulturhus.no/arrangementer/carte-blanche-how-romantic-291020251900/,https://mff.dx.no/177514.jpg,29. oktober 2025,Ledige billetter
dagfinn-lyngbo-folk-301020251900,NOK 100,Dagfinn Lyngbø – Folk!,https://www.hamar-kulturhus.no/arrangementer/dagfinn-lyngbo-folk-301020251900/,https://mff.dx.no/162843.jpg,30. oktober 2025,Få billetter igjen
thea-paulsrud-301020252000,NOK 100,Thea Paulsrud,https://www.hamar-kulturhus.no/arrangementer/thea-paulsrud-301020252000/,https://mff.dx.no/179757.jpg,30. oktober 2025,Ledige billetter
salsakveld-i-foajeen-hamar-salsaklubb,NOK 100,Salsa i Foajeen – Hamar salsaklubb,https://www.hamar-kulturhus.no/arrangementer/salsakveld-i-foajeen-hamar-salsaklubb/,https://www.hamar-kulturhus.no/wp-content/uploads/2023/10/salsa_medlogo.jpg,Fra 31. oktober 2025,Gratis inngang
lordagsbarn-det-var-en-gang-011120251300,NOK 100,Lørdagsbarn: Det var en gang,https://www.hamar-kulturhus.no/arrangementer/lordagsbarn-det-var-en-gang-011120251300/,https://mff.dx.no/182175.jpg,1. november 2025,Ledige billetter
vang-musikforening-in-the-mood-en-swingende-matinekonsert-011120251400,NOK 100,"Vang Musikforening: In the mood, en swingende matinékonsert",https://www.hamar-kulturhus.no/arrangementer/vang-musikforening-in-the-mood-en-swingende-matinekonsert-011120251400/,https://mff.dx.no/177051.jpg,1. november 2025,Ledige billetter
vastadus-eana-the-answer-is-land-riksteatret-011120251900,NOK 100,Vástádus eana – The answer is land / Riksteatret,https://www.hamar-kulturhus.no/arrangementer/vastadus-eana-the-answer-is-land-riksteatret-011120251900/,https://mff.dx.no/178875.jpg,1. november 2025,Ledige billetter
triolen-2025-storband-og-korps-i-episk-harmoni-021120251800,NOK 100,Triolen 2025 – Storband og korps i episk harmoni,https://www.hamar-kulturhus.no/arrangementer/triolen-2025-storband-og-korps-i-episk-harmoni-021120251800/,https://mff.dx.no/177417.jpg,2. november 2025,Ledige billetter
plutselig-fortellinger-om-ung-sorg-051120251800,NOK 100,Plutselig – fortellinger om ung sorg,https://www.hamar-kulturhus.no/arrangementer/plutselig-fortellinger-om-ung-sorg-051120251800/,https://mff.dx.no/183024.jpg,5. november 2025,Ledige billetter
onsdagsjam,NOK 100,Onsdagsjam,https://www.hamar-kulturhus.no/arrangementer/onsdagsjam/,https://www.hamar-kulturhus.no/wp-content/uploads/2023/09/onsdagsjam_1920x1080.jpg,Fra 5. november 2025,Gratis
lisa-stokke-lisa-loves-abba-061120252000,NOK 100,Lisa Stokke – Lisa Loves ABBA,https://www.hamar-kulturhus.no/arrangementer/lisa-stokke-lisa-loves-abba-061120252000/,https://mff.dx.no/169878.jpg,6. november 2025,Ledige billetter
freddy-kjensmo-humorshowet-tid-for-tomgang-071120251900,NOK 100,Freddy Kjensmo: Humorshowet Tid For Tomgang,https://www.hamar-kulturhus.no/arrangementer/freddy-kjensmo-humorshowet-tid-for-tomgang-071120251900/,https://mff.dx.no/183166.jpg,7. november 2025,Ledige billetter
martin-hagfors-071120252100,NOK 100,Martin Hagfors,https://www.hamar-kulturhus.no/arrangementer/martin-hagfors-071120252100/,https://mff.dx.no/173148.jpg,7. november 2025,Ledige billetter
konsert-med-demenskor-fra-hamarregionen-ringsaker-og-gjovik-081120251500,NOK 100,"Konsert med demenskor fra Hamarregionen, Ringsaker og Gjøvik",https://www.hamar-kulturhus.no/arrangementer/konsert-med-demenskor-fra-hamarregionen-ringsaker-og-gjovik-081120251500/,https://mff.dx.no/182118.jpg,8. november 2025,Ledige billetter
hoyt-og-lavt-en-statusrapport-fra-norges-rikeste-land-081120252100,NOK 100,Høyt og lavt – en statusrapport fra Norges rikeste land,https://www.hamar-kulturhus.no/arrangementer/hoyt-og-lavt-en-statusrapport-fra-norges-rikeste-land-081120252100/,https://mff.dx.no/179742.jpg,8. november 2025,Ledige billetter
karius-og-baktus-091120251400,NOK 100,Karius og Baktus,https://www.hamar-kulturhus.no/arrangementer/karius-og-baktus-091120251400/,https://mff.dx.no/164993.jpg,9. november 2025,Få billetter igjen
litteraert-pusterom-4,NOK 100,Litterært pusterom,https://www.hamar-kulturhus.no/arrangementer/litteraert-pusterom-4/,https://www.hamar-kulturhus.no/wp-content/uploads/2023/11/Litteraert-pusterom_web.jpg,11. november 2025,Gratis inngang
toyser-jula-inn-2025-141120252100,NOK 100,Tøyser jula inn 2025,https://www.hamar-kulturhus.no/arrangementer/toyser-jula-inn-2025-141120252100/,https://mff.dx.no/175307.jpg,Fra 13. november 2025,Ledige billetter
